编号,名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,备注
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,14437,14437,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,14437,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,塑壳断路器,NSX100N MA 20 3P3D F,只,2,856.21,0.54,462,924,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
2,双电源切换,"D03ATSB30030JMX0,97C",只,1,4995,1,4995,4995,ASCO,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
3,消防电源,FS2623AVC 带互感器,只,1,324,1,324,324,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
4,消防电源,FS2613AVC,只,5,226,1,226,1130,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
5,多功能表,PMAC770E,只,1,803,1,803,803,派诺,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
6,电流互感器,BH-0.66 20/5A,只,3,39,0.6,23,69,浙江鸿坤,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
7,微型断路器,iC65N-S C10A/1P,只,6,43.89,0.45,20,120,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
8,微型断路器,iC65N-S C20A/1P,只,1,43.89,0.45,20,20,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
9,微型断路器,iC65N-S C20A/3P,只,1,171,0.45,77,77,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
10,后备,"LMSCB-I25KA/4P,T1",只,1,180,1,180,180,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
11,浪涌保护器,"LMRD-I12.5/4P,T1,Iimp12.5KA（10/350us）",只,1,222,1,222,222,雷曼,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
12,交流接触器,iCT 4P 25A 4NO AC220-240V,只,6,361.79,0.48,174,1044,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
元件小计：,,,,,,,,9908,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
辅材费=（元件小计）*8%,,,套,1,,,793,793,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
人工费=(元器件小计+辅材费)*8%,,,套,1,,,856,856,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
管理费及利润=(元器件小计+辅材费)*7.5%,,,套,1,,,803,803,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,268,268,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL 700*1100*250 户外 IP65,,,台,1,,,1809,1809,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,Y1ALE-XB-1,,,,,,,,1#室外油机平台,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,2850,2850,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,2850,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,应急电源,WX-D--0.5kVA-01 AC220V输入 转DC36V输出 灯具持续供电时间大于60分钟 EPS初装容量大于180分钟 IP65,只,1,2850,1,2850,2850,宣威电气,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
元件小计：,,,,,,,,2850,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
辅材费=（元件小计）*8%,,,套,1,,,0,0,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
人工费=(元器件小计+辅材费)*8%,,,套,1,,,0,0,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
管理费及利润=(元器件小计+辅材费)*7.5%,,,套,1,,,0,0,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
税金=(元器件小计+辅材费)*2.5%,,,套,1,,,0,0,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
壳体（宽*高*深）：XL ,,,台,1,,,0,0,上海天灵,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
编号：,Y1APb1-1,,,,,,,,1#室外油机平台,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
序号,产品名称,规格型号,单位,数量,面价,折扣,单价,金额,品牌,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
合计,,,台,1,,,16543,16543,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
小计A：A=B+C+D+E+F+G,,,台,1,,,,16543,,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
1,隔离开关,WG160/100/3,只,2,429,0.55,236,472,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
2,塑壳断路器,NSX100N TMD 100 3P3D F MX+OF,只,2,1512.32,0.54,817,1634,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
3,双电源切换,"D03ATSB30104JMX0,97C",只,1,5435,1,5435,5435,ASCO,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
4,火灾监控器,FS8201-100,只,1,150,1,150,150,赋安,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
5,多功能表,PMAC770E,只,1,803,1,803,803,派诺,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
6,电流互感器,BH-0.66 100/5A,只,3,39,0.6,23,69,浙江鸿坤,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
7,微型断路器,iC65N-S C10A/1P,只,2,43.89,0.45,20,40,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
8,微型断路器,iC65N-S C16A/1P,只,1,43.89,0.45,20,20,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
9,微型断路器,iC65N-S D25A/3P,只,1,244.16,0.45,110,110,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
10,微型断路器,iC65N-S D40A/3P,只,4,252.96,0.45,114,456,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
11,微型断路器,iC65N-S D63A/3P,只,1,334.57,0.45,151,151,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
12,微型断路器,iC65N-S 2P C10A+ELE 30mA A,只,2,283.11,0.45,127,254,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
13,微型断路器,iC65N-S 2P C16A+ELE 30mA A,只,1,283.11,0.45,127,127,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
14,微型断路器,iC65N-S 3P C40A+ELE 300mA A,只,2,535.19,0.45,241,482,施耐德,2025.1.13；货到现场次月支付送货金额80%，竣工验收完成付至送货金额90%，结算完成付至结算金额95%，5%质保2年，供方接受6个月商票，信用证，区块链。
